AgeCal (Valero-Garces et al 2019),Composite depth (cm),MS
20990.8,523.50,2.37269523
21001.9,524.00,2.47397234
21015.3,524.60,2.68032531
21026.5,525.10,2.44445166
21037.7,525.60,2.29704024
21048.8,526.10,2.59316103
21059.8,526.60,2.80725277
21070.8,527.10,2.10021679
21084.2,527.70,2.22110305
21095.3,528.20,2.49613848
21106.6,528.70,2.27524325
21117.9,529.20,2.45939672
21128.9,529.70,2.29704024
21140.1,530.20,2.55191949
21153.5,530.80,2.60432393
21164.8,531.30,2.63549149
21175.9,531.80,2.73721266
21187.2,532.30,2.59958669
21198.5,532.80,3.1369932
21209.8,533.30,3.99243219
21223.4,533.90,3.34269902
21234.4,534.40,5.2369932
21245.7,534.90,24.078131
21257.3,535.40,4.70674999
21268.5,535.90,3.21161666
21279.7,536.40,3.24269902
21293.1,537.00,1.67813103
21304.5,537.50,1.753527
21315.7,538.00,1.01819413
21325.2,538.40,1.31245235
21327.4,538.50,2.59906874
21333.9,538.80,11.9489403
21338.6,539.00,7.17325148
21343,539.20,1.92514441
21349.9,539.50,1.15256562
21352.1,539.60,1.17770074
21358.9,539.90,1.02514441
21363.5,540.10,1.21245235
21368,540.30,1.09502621
21377.1,540.70,0.919467304
21386.2,541.10,0.812534459
21395.4,541.50,0.662791802
21402.2,541.80,0.653312076
21411.2,542.20,0.723871144
21420,542.60,0.717157277
21428.9,543.00,0.757431807
21438,543.40,0.655943568
21446.7,543.80,0.798641845
21455.7,544.20,0.87909379
21462.4,544.50,0.165248126
21471.3,544.90,0.350543548
21480.4,545.30,0.308046167
21489.4,545.70,0.483124873
21498.3,546.10,0.527041881
21507.3,546.50,0.402608013
21513.7,546.80,0.431500266
21522.8,547.20,0.465094547
21531.9,547.60,0.474099817
21541.1,548.00,0.565094547
21550.2,548.40,0.302608013
21559.2,548.80,0.492169761
21568.2,549.20,0.165473143
21574.8,549.50,0.5744735
21583.8,549.90,0.478609869
21592.9,550.30,0.299947981
21601.9,550.70,0.736278633
21610.7,551.10,0.741186757
21619.7,551.50,0.870712846
21626.3,551.80,0.736880776
21635.3,552.20,0.901405325
21644.3,552.60,0.872100461
21653.3,553.00,0.730079674
21662.4,553.40,0.317024262
21671.4,553.80,0.552565622
21680.5,554.20,9.54879205
21687.1,554.50,6.36641231
21696.1,554.90,6.43469026
21705.1,555.30,6.13240584
21714,555.70,5.17871755
